date,open,high,low,close,volume
2024-09-24,220.68,221.82,218.64,220.34,90189955
2024-09-25,220.16,221.93,219.34,220.83,36002437
2024-09-26,220.12,222.5,219.74,220.48,40606265
2024-09-27,222.2,223.45,220.85,221.75,31091989
2024-09-30,222.9,224.23,221.2,222.0,83644057
2024-10-01,221.07,223.67,220.63,221.64,72200318
2024-10-02,223.31,224.97,221.85,223.23,99790594
2024-10-03,224.2,225.83,222.48,223.87,60819838
2024-10-04,224.01,225.07,223.22,223.02,53283771
2024-10-07,225.32,225.35,222.59,223.52,75145321
2024-10-08,223.71,225.05,222.78,224.99,24755469
2024-10-09,223.25,225.19,222.66,223.41,46098641
2024-10-10,224.27,224.32,222.6,223.56,34150540
2024-10-11,221.78,222.55,219.91,222.24,65221400
2024-10-14,219.6,220.72,218.92,219.59,21992825
2024-10-15,219.5,220.15,218.6,220.49,90941842
2024-10-16,217.86,220.36,217.13,219.15,50559798
2024-10-17,218.25,220.45,218.03,218.07,26152941
2024-10-18,217.98,219.2,217.37,217.82,56286070
2024-10-21,216.41,217.22,215.88,217.33,30556086
2024-10-22,218.87,219.28,217.35,218.93,73307679
2024-10-23,217.54,219.02,217.09,217.75,43289643
2024-10-24,218.04,218.64,217.17,218.11,21940369
2024-10-25,216.72,217.61,215.0,215.79,61681557
2024-10-28,214.94,217.01,215.14,216.89,68226615
2024-10-29,216.35,217.45,215.0,215.49,45955176
2024-10-30,214.23,216.32,213.03,215.76,71721929
2024-10-31,216.17,215.82,214.04,215.55,27778748
2024-11-01,213.94,215.71,213.15,214.86,61654364
2024-11-04,214.18,215.79,213.6,214.38,72182965
2024-11-05,212.92,215.01,212.97,213.22,89055694
2024-11-06,216.6,217.39,215.04,214.96,52997728
2024-11-07,215.6,217.08,214.84,215.03,97066032
2024-11-08,214.73,215.28,213.62,213.91,56159646
2024-11-11,214.49,215.96,214.59,215.92,61478073
2024-11-12,214.64,215.6,213.5,213.84,30717207
2024-11-13,213.77,214.89,213.66,213.46,36169764
2024-11-14,213.18,213.76,211.19,213.32,29384451
2024-11-15,210.47,212.97,210.25,211.83,91297755
2024-11-18,210.64,212.62,210.21,212.11,96123517
2024-11-19,211.07,213.08,210.74,212.98,40808635
2024-11-20,212.11,213.63,210.63,211.51,58049943
2024-11-21,212.18,213.24,211.49,211.84,71756593
2024-11-22,210.88,213.07,210.05,212.26,80111794
2024-11-25,210.82,212.18,208.83,210.66,89472863
2024-11-26,209.46,210.63,208.93,208.86,24790691
2024-11-27,209.14,211.03,207.28,209.72,47950196
2024-11-28,210.03,212.0,208.26,209.59,96961279
2024-11-29,210.29,211.28,209.9,209.94,73423843
2024-12-02,208.85,209.33,207.81,208.8,37066318
