date,open,high,low,close,volume
2025-09-04,644.42,649.15,643.51,649.12,65219230
2025-09-03,642.67,644.21,640.46,643.74,70820898
2025-09-02,637.5,640.49,634.92,640.27,81983555
2025-08-29,647.47,647.84,643.14,645.05,74522195
2025-08-28,647.24,649.48,645.34,648.92,61519461
2025-08-27,644.57,647.37,644.42,646.63,48341070
2025-08-26,642.2,645.51,641.57,645.16,51581566
2025-08-25,644.04,645.29,642.35,642.47,51274328
2025-08-22,637.76,646.5,637.25,645.31,84083211
2025-08-21,636.28,637.97,633.81,635.55,54805781
2025-08-20,639.4,639.66,632.95,638.11,88890305
2025-08-19,643.12,644.105,638.48,639.81,69750727
2025-08-18,642.86,644.0,642.18,643.3,43804910
2025-08-15,645.99,646.09,642.5153,643.44,68592516
2025-08-14,642.79,645.62,642.34,644.95,59327473
2025-08-13,644.91,646.19,642.68,644.89,60092793
2025-08-12,638.29,642.85,636.79,642.69,64821801
2025-08-11,637.46,638.95,634.66,635.92,58742301
2025-08-08,634.06,637.645,633.74,637.18,64051633
2025-08-07,636.24,636.98,629.11,632.25,74205789
2025-08-06,629.05,633.44,628.13,632.78,64357527
2025-08-05,631.79,632.6052,627.04,627.97,68051398
2025-08-04,625.67,631.215,625.58,631.17,73218016
2025-08-01,626.3,626.34,619.29,621.72,140103594
2025-07-31,639.455,639.85,630.765,632.08,103385203
2025-07-30,635.92,637.68,631.54,634.46,80418852
2025-07-29,638.35,638.67,634.335,635.26,60556281
2025-07-28,637.48,638.04,635.54,636.94,54917102
2025-07-25,635.09,637.5799,634.84,637.1,56865359
2025-07-24,634.6,636.15,633.99,634.42,71307125
2025-07-23,631.55,634.21,629.73,634.21,70511039
2025-07-22,629.1,629.73,626.19,628.86,60046289
2025-07-21,628.77,631.54,628.34,628.77,63374980
2025-07-18,629.3,629.47,626.46,627.58,65621648
2025-07-17,624.4,628.4048,624.18,628.04,68885680
2025-07-16,623.74,624.73,618.05,624.22,88987516
2025-07-15,627.52,627.86,622.06,622.14,74317266
2025-07-14,623.16,625.1581,621.7999,624.81,51898520
2025-07-11,622.74,624.86,621.53,623.62,63670230
2025-07-10,624.2,626.8701,623.01,625.82,57528961
2025-07-09,622.77,624.72,620.9105,624.06,66113328
2025-07-08,621.35,622.11,619.52,620.34,59024594
2025-07-07,623.36,624.03,617.87,620.68,74814516
2025-07-03,622.45,626.28,622.43,625.34,51065793
2025-07-02,617.24,620.49,616.61,620.45,66510367
2025-07-01,616.36,618.83,615.52,617.65,70030141
2025-06-30,617.38,619.22,615.04,617.85,92502547
2025-06-27,612.88,616.39,610.83,614.91,86258398
2025-06-26,608.99,612.31,608.37,611.87,78548359
2025-06-25,607.91,608.61,605.54,607.12,62114770
2025-06-24,604.33,607.8499,603.41,606.78,67735289
2025-06-23,595.04,600.54,591.89,600.15,87426039
2025-06-20,598.38,599.46,592.86,594.28,94051367
2025-06-18,598.44,601.22,596.47,597.44,76605031
2025-06-17,600.21,601.75,596.76,597.53,82209367
2025-06-16,600.4,604.45,600.22,602.68,79984125
2025-06-13,598.5,601.85,595.48,597.0,89506000
2025-06-12,600.01,603.75,599.52,603.75,64129000
2025-06-11,604.19,605.06,599.27,601.36,73658234
2025-06-10,600.22,603.47,599.09,603.08,66246969
2025-06-09,599.72,601.25,598.49,599.68,53016422
2025-06-06,598.66,600.83,596.86,599.14,66588742
2025-06-05,597.63,599.0,591.05,593.05,92436398
2025-06-04,596.96,597.95,595.49,595.93,57314199
2025-06-03,592.34,597.08,591.85,596.09,63606199
2025-06-02,587.76,592.79,585.06,592.71,61630500
2025-05-30,588.93,591.1299,583.235,589.39,90601242
2025-05-29,593.06,593.2,586.07,590.05,70073758
2025-05-28,591.56,592.7688,586.985,587.73,68445516
2025-05-27,586.07,591.31,578.43,591.15,72588477
2025-05-23,575.98,581.8101,575.6,579.11,76029047
2025-05-22,582.66,586.62,581.405,583.09,70860414
2025-05-21,588.44,592.58,581.82,582.86,95197664
2025-05-20,593.09,594.05,589.6,592.85,60614488
2025-05-19,588.1,595.54,588.1,594.85,68168516
2025-05-16,591.25,594.5,589.28,594.2,76052094
2025-05-15,585.56,590.97,585.0969,590.46,71268148
2025-05-14,587.81,588.98,585.535,587.59,66283531
2025-05-13,583.41,589.08,582.84,586.84,67947234
2025-05-12,581.47,583.0,577.04,582.99,78993570
2025-05-09,566.48,567.5,562.7637,564.34,37603434
2025-05-08,565.24,570.31,561.7,565.06,65130793
2025-05-07,560.15,563.82,556.04,561.15,55733230
2025-05-06,557.93,563.3476,556.96,558.8,48264711
2025-05-05,562.57,566.65,561.7,563.51,38659219
2025-05-02,564.73,568.38,562.38,566.76,60717273
2025-05-01,560.37,564.0699,557.86,558.47,63186152
2025-04-30,547.57,556.52,541.52,554.54,93101453
2025-04-29,548.91,555.45,548.55,554.32,47775121
2025-04-28,551.39,553.55,545.02,550.85,47613762
2025-04-25,546.65,551.05,543.69,550.64,61119594
2025-04-24,536.715,547.43,535.4504,546.69,64150422
2025-04-23,540.43,545.43,533.88,535.42,90590656
2025-04-22,520.14,529.305,519.1925,527.25,75948117
2025-04-21,521.16,521.7,508.46,513.88,69368125
2025-04-17,527.64,531.165,523.91,526.41,79868078
2025-04-16,531.68,537.8854,520.29,525.66,83484805
2025-04-15,539.675,543.23,536.81,537.61,56892871
2025-04-14,544.05,544.28,533.86,539.12,68033992
2025-04-11,523.01,536.43,520.07,533.94,97866328
2025-04-10,532.17,533.495,509.32,524.58,162331203
2025-04-09,493.44,548.62,493.05,548.62,241867297
2025-04-08,521.86,524.98,489.16,496.48,165816609
2025-04-07,489.19,523.17,481.8,504.38,256611391
2025-04-04,523.67,525.87,505.06,505.28,217965109
2025-04-03,545.11,547.97,536.7,536.7,125986000
2025-04-02,555.05,567.42,554.81,564.52,76014547
2025-04-01,557.45,562.94,553.68,560.97,54609641
2025-03-31,549.83,560.7112,546.87,559.39,95328211
2025-03-28,565.53,566.2675,555.07,555.66,71662648
2025-03-27,567.18,570.9,564.94,567.08,42164246
2025-03-26,575.19,576.33,567.19,568.59,52228898
2025-03-25,575.3,576.41,573.69,575.46,38355738
2025-03-24,570.8,575.15,570.2,574.08,58766801
2025-03-21,559.28,564.89,558.03,563.98,83762961
2025-03-20,563.33,570.57,562.6012,565.49,62958199
2025-03-19,562.83,570.95,561.63,567.13,66555992
2025-03-18,564.8,565.02,559.06,561.02,66041422
2025-03-17,562.79,569.71,562.35,567.15,49008711
2025-03-14,556.11,563.83,551.4917,562.81,62660320
2025-03-13,558.49,559.105,549.68,551.42,74079406
2025-03-12,562.17,563.11,553.69,558.87,69588172
2025-03-11,559.4,564.02,552.02,555.92,88102109
2025-03-10,567.59,569.54,555.59,560.58,99326625
2025-03-07,570.9,577.39,565.63,575.92,81158812
2025-03-06,575.48,580.1736,570.12,572.71,80094875
2025-03-05,576.69,584.88,573.0795,583.06,71230531
2025-03-04,579.71,585.39,572.25,576.86,109648203
2025-03-03,596.18,597.34,579.9,583.77,74249203
2025-02-28,585.56,594.72,582.44,594.18,88744109
2025-02-27,596.85,598.02,584.65,585.05,74196656
2025-02-26,595.93,599.58,591.8556,594.54,43321578
2025-02-25,597.15,597.89,589.56,594.24,58266473
2025-02-24,602.02,603.03,596.49,597.21,50737207
